,Rank,Team,Confederation,Form,Rating,Change
0,1,Spain,UEFA,DWWWW,2155,-10
1,2,Argentina,CONMEBOL,LWDWW,2114,+1
2,3,France,UEFA,WWDWW,2062,-19
3,4,England,UEFA,WWWWW,2021,+1
4,5,Brazil,CONMEBOL,LWWDL,1991,+3
5,6,Portugal,UEFA,WLDWW,1986,+2
6,7,Colombia,CONMEBOL,WWDDD,1982,+5
7,8,Netherlands,UEFA,WDWWW,1944,-17
8,9,Ecuador,CONMEBOL,WDDDD,1938,+3
9,10,Germany,UEFA,WWWWW,1932,+7
10,11,Norway,UEFA,WWWWW,1914,-3
11,12,Croatia,UEFA,WWWDW,1911,+3
12,13,Turkey,UEFA,WWDWW,1911,+5
13,14,Japan,AFC,WWWWL,1906,+28
14,15,Belgium,UEFA,WDWDW,1893,+5
15,16,Uruguay,CONMEBOL,DWWLD,1892,+2
16,17,Switzerland,UEFA,DWDWW,1891,-3
17,18,Mexico,CONCACAF,WWWDW,1875,+8
18,19,Denmark,UEFA,DWLDW,1869,+5
19,20,Italy,UEFA,DWLWW,1869,+10
20,21,Senegal,CAF,WWWWW,1867,-3
21,22,Paraguay,CONMEBOL,WDLWD,1833,+1
22,23,Austria,UEFA,DWLWW,1830,+12
23,24,Morocco,CAF,LDWWW,1827,+3
24,25,Canada,CONCACAF,DDDWD,1788,-5
25,26,Scotland,UEFA,WLWWW,1782,+12
26,27,Ukraine,UEFA,LWLWW,1780,-5
27,28,Australia,AFC,WWWWW,1777,+3
28,29,Iran,AFC,WLDDL,1772,+8
29,30,Nigeria,CAF,WWDWD,1770,+1
30,31,Russia,UEFA,—————,1770,+4
31,32,Algeria,CAF,LWWWW,1760,+17
32,33,South Korea,AFC,LWWWW,1758,+2
33,34,Greece,UEFA,DWLLL,1744,-10
34,35,Czechia,UEFA,DDWLD,1740,+7
35,36,Serbia,UEFA,WLWLL,1734,-8
36,37,Panama,CONCACAF,WWDWD,1730,-4
37,38,United States,CONCACAF,LWDWW,1726,-7
38,39,Venezuela,CONMEBOL,DWLLL,1722,-5
39,40,Uzbekistan,AFC,DWDWW,1718,-10
40,41,Kosovo,UEFA,LWDWW,1715,+1
41,42,Sweden,UEFA,WWDLL,1712,-2
42,43,Poland,UEFA,LWWDW,1710,-1
43,44,Chile,CONMEBOL,LWDLL,1708,-2
44,45,Hungary,UEFA,LWDWL,1707,+4
45,46,Peru,CONMEBOL,LLDDL,1701,+6
46,47,Ireland,UEFA,DWWWL,1699,+5
47,48,Egypt,CAF,DLWWD,1696,-3
48,49,Ivory Coast,CAF,LWWDW,1695,+19
49,50,Slovenia,UEFA,DLDDL,1682,-3
50,51,Wales,UEFA,DWWLW,1682,-9
51,52,Jordan,AFC,DDLWW,1680,-5
52,53,Slovakia,UEFA,LLWWL,1667,-7
53,54,DR Congo,CAF,WLWDW,1661,+6
54,55,Georgia,UEFA,LLLLW,1654,+4
55,56,Israel,UEFA,WLLLW,1647,+13
56,57,Romania,UEFA,LWLWD,1639,+9
57,58,Bolivia,CONMEBOL,LWWLW,1633,-12
58,59,Tunisia,CAF,DWDDL,1628,-5
59,60,Iraq,AFC,WLLWW,1618,+10
60,61,Albania,UEFA,LLWWW,1616,-17
61,62,Cameroon,CAF,WLLWW,1613,+7
62,63,Costa Rica,CONCACAF,LDDLW,1611,-21
63,64,Northern Ireland,UEFA,LWLLW,1607,+6
64,65,Bosnia and Herzegovina,UEFA,DDDWD,1595,+4
